stmt,shrine,for
息子の大学院入試が成功しますように,st1,1
ゴールドライブに出る,st1,0
神様に恩返しができるように人に優しく人に役立てることを精一杯することを誓います,st1,0
絶対合格！,st1,0
小学校に受かりますように,st1,0
夢に向かって何事にも努力します,st1,0
空が元気でいられますように家族全員みんな仲良く元気でいられますように,st1,1
心身ともに健康になり、金と運にも恵まれます 平おん祈願。,st1,0
必ず受験降格!! 第一志望校入学,st1,0
健康祈願 1日も早く健康体に戻れます様に,st1,1
就活・部活共に上手くいきますように。,st1,0
かっこいい社会人になれますように。あと英語も話せるようになりたい。,st1,0
山梨県北本土布に家族で住む為の家が建てれますように。,st1,0
まほちゃんが全力で勉強頑張るので、見守っていて下さい。,st1,1
家族皆健康に平穏に暮らせますように。,st1,1
都立桜修館中等教育学校の入学試験に合格しますように宜しくお願い致します。,st1,0
最後まであきらめない。,st1,0
合格出来ますように！,st1,0
くれまぐがもっともっと有名になりますように ヒ?コがもっともっと有名になりますように,st1,1
コロナがおさまり外出できますように。 サピのテストがうまくいきますように。,st1,0
受験合格！！学業成就,st1,0
2022年も最高の一年だったことご報告いたします。いつもご加護いただきありがとうございます。,st1,0
これからも家族皆が楽しく仲良く過ごせますように。村長に今年なる,st1,#N/A
コロナに負けず全員元気で生活を送れる幸を祈願します。,st1,0
手術が成功し無事健康で過ごせますように,st1,0
家族が元気に1年を過ごせますように,st1,1
家族みんなが健康で入れます様に,st1,1
家庭円満 無病息災,st1,0
いつもありがとうございます。自分の魂の道に進み楽しくわくわくで過ごせますように！,st1,0
慶應中等部に合格しますように,st1,0
ことしもたのしくなってほしいです。,st1,0
自分が一生かけて取り組みたいと思うお仕事と出会い、就職できますように。心から大切にしたいと思える方に出会えますように。,st1,0
本人が努力し頑張れるように暖かくサポートしてゆきます。,st1,1
氷川神社が永遠と続きますように。速く走れるようになりますように。,st1,0
家族みんなが健康で過ごせますように。家族みんなが気持ちよく過ごせる新居が完成しますように,st1,1
笑顔で健やかに元気で幸せに祈願,st2,0
元気に大きくなれますように,st2,0
大きくなりますように。,st2,0
たけちゃんが元気いっぱい育ちますように。,st2,1
子供たちが元気で過ごせますように。,st2,1
元気でいられますように,st2,0
11/8に落ち着いて体調もよく試験が受けれます様見守って下さい。,st2,0
しょうがくせいになったらおちついてがんばれますようにみまもってください,st2,0
元気に笑顔で過ごせますように,st2,0
勉強が楽しくできますように。,st2,0
英語のエルサになれますように。,st2,0
健康で元気にすくすく成長しますように！家族みんな仲良く過ごします！,st2,0
すてきなおねえさんになれますように,st2,0
これからも健康でみんな楽しく生きていけますように,st2,0
みんなが仲良くできますように,st2,0
足が速くなりますように,st2,0
椰・家族全員が健やかに明るく過ごせますように,st2,1
絶対合格 2022年度行政書士試験を受ける全ての方の合格を祈念します,st2,1
純怜が元気に明るく成長しますように,st2,1
みんな元気で健康に暮らせますように,st2,0
学校が楽しくなりますように,st2,0
芽生ちゃんが元気に過ごせますように,st2,1
みんなが元気に過ごしていられますように。,st2,1
一生元気でいれますように。,st2,0
いつもはながよしてありがとうございます。,st2,0
良い出会いがありますように。試験やりぬけますように。,st2,0
父の手術が成功し、病が治りますように。,st2,1
お勉強がんばります。,st2,0
志望校に合格しますように,st2,0
長生きできますように。,st2,0
母の手術が成功し、病が治りますように。,st2,1
元気で過ごせますように。,st2,0
もっくんがこの地で明るく幸せな時間を安全に過ごせますように,st2,1
みんな元気に,st2,1
後ろ回りができますように,st2,0
お人形たちが動いてほしいです。,st2,1
なんでもチャレンジできましょうに,st2,0
元気でいれますように,st2,0
健康で楽しい日々を過ごせますように...,st2,0
元気に楽しく！,st2,0
どうぞ健康な身体になれますように,st2,0
いつもありがとうございます 良縁成就 ,st2,0
Hey!Say!JUMP 15th Anniversary LIVE TOUR 2022-2023 当選しますように。,st2,0
だたかつ&のりひさ が元気に大きくなりますように,st2,1
元気に健康で過ごせますように。,st2,0
ギータがうまくなりますように,st2,0
コロナが無くなりますように。,st2,0
いつまでも健康に幸せでいますように,st2,0
健康に育ちますように。楽しい人生となりますように！ (初宮詣),st2,1
健康にすくすく育ちますように,st2,1
雄斗さんにたっくさんの幸せが訪れます！！,st2,1
サマステが当たりますように... 家族皆健康でいられますように...,st2,0
2022年6月 RUEくんとお付き合いがはじまり、2022年中にラブラブ結婚生活に感謝♡,st2,1
関西ジャニーズJr. フレッシュライブ Lil かんさい フレッシュ！フレッシュ！フレッシュ！ 当選・最前祈願 いっぱい笑える冬になりますように♡,st2,0
健やかにたくましくすくすくと育ちますように,st2,1
無事に富士山登頂そして、帰宅できます様にーーー！,st2,0
平癒祈願 58歳を迎えることができました。,st2,0
早稲田大学政治経済学部政治学科に合格する!,st2,0
SixTONESのジェシーに会いたいです。,st2,0
2022年8月27日なにわ男子デビューコンサート神席当たりますように！,st2,0
縄跳びできますように,st2,0
おかしいっぱいもらえますように,st2,0
HAPPYな毎日とすてきなご縁がありますように...,st2,0
ぼうけんしゃたち舞台 ???(海組) 成功しますように！！楽しく??ますように,st2,1
元気な赤ちゃんが授かりますように。,st2,1
メイケイエール号がG1レースで勝てますように。ケガ、病気をせずに引退まで走れますように。,st2,1
転職活動が上手くいきますように,st2,0
家移りがうまくいき新居で末長く楽しく健康に暮らしていけますように,st2,1
「くまのがっこうミニコンサート 2021」ヘルマン役として千本桜のぶたいにたてますように！,st2,0
ずっと一緒にいられますように！,st2,1
こどもたちが立派な社会人になりますように！,st2,1
みんな元気に,st2,1
「PICU・小児治療室」吉沢亮様の初主演月９ドラマの成功をお祈りします。,st2,1
家内安全 健康第一,st2,1
コロナになりませんように。,st2,0
元気に健やかに暮らせますように ダンスも上手に踊れますように,st2,0
スーパーモデルになれますように,st2,0
コンクールのよせんふたつともとおりますように。,st2,0
