願い,神社,対象（自分・家族・推し・友達）,後で記入_タイプ（入試・病気・出産・楽しく仲良く）,後で記入_タイプ（入試・病気・出産・楽しく仲良く）,後で記入_タイプ（入試・病気・出産・楽しく仲良く）
息子の大学院入試が成功しますように,八雲 氷川神社,家族,学業,,
ゴールドライブに出る,八雲 氷川神社,自分,技芸,,
神様に恩返しができるように人に優しく人に役立てることを精一杯することを誓います,八雲 氷川神社,自分,願望,願望,
絶対合格！,八雲 氷川神社,自分,学業,,
しょうがっこうにうかりますように。,八雲 氷川神社,自分,学業,,
夢に向かって何事にも努力します,八雲 氷川神社,自分,願望,,
空が元気でいられますように家族全員みんな仲良く元気でいられますように,八雲 氷川神社,家族,願望,,
心身ともに健康になり、金と運にも恵まれます 平おん祈願。,八雲 氷川神社,自分,健康,,
必ず受験降格!! 第一志望校入学,八雲 氷川神社,自分,学業,,
健康祈願 公?君が1日医も早く健康体に戻れます様に,八雲 氷川神社,家族,健康,,
就活・部活共に上手くいきますように。,八雲 氷川神社,自分,願望,,
かっこいい社会人になれますように。あと英語も話せるようになりたい。,八雲 氷川神社,自分,願望,,
山梨県北本土布に家族で住む為の家が建てれますように。,八雲 氷川神社,自分,転居,,
まほちゃんが全力で勉強頑張るので、見守っていて下さい。,八雲 氷川神社,子ども,学業,,
家族皆健康に平穏に暮らせますように。,八雲 氷川神社,家族,願望,,
都立桜修館中等教育学校の入学試験に合格しますように宜しくお願い致します。,八雲 氷川神社,自分,学業,,
最後まであきらめない。,八雲 氷川神社,自分,願望,,
合格出来ますように！,八雲 氷川神社,自分,学業,,
くれまぐがもっともっと有名になりますように ヒ?コがもっともっと有名になりますように,八雲 氷川神社,推し,願望,,
コロナがおさまり外出できますように。 サピのテストがうまくいきますように。,八雲 氷川神社,自分,願望,学業,
受験合格！！学業成就,八雲 氷川神社,自分,学業,,
2022年も最高の一年だったことご報告いたします。いつもご加護いただきありがとうございます。,八雲 氷川神社,自分,,,
これからも家族皆が楽しく仲良く過ごせますように。村長に今年なる,八雲 氷川神社,"自分, 家族",願望,仕事,
コロナに負けず全員元気で生活を送れる幸を祈願します。,八雲 氷川神社,自分,健康,,
手術が成功し無事健康で過ごせますように,八雲 氷川神社,自分,健康,,
家族が元気に1年を過ごせますように,八雲 氷川神社,家族,健康,,
家族みんなが健康で入れます様に,八雲 氷川神社,家族,健康,,
家庭円満 無病息災,八雲 氷川神社,自分,願望,健康,
いつもありがとうございます。自分の魂の道に進み楽しくわくわくで過ごせますように！,八雲 氷川神社,自分,願望,,
慶應中等部に合格しますように,八雲 氷川神社,自分,学業,,
ことしもたのしくなってほしいです。,八雲 氷川神社,自分,願望,,
自分が一生かけて取り組みたいと思うお仕事と出会い、就職できますように。心から大切にしたいと思える方に出会えますように。,八雲 氷川神社,自分,仕事,,
本人が努力し頑張れるように暖かくサポートしてゆきます。,八雲 氷川神社,子ども,願望,,
ひかわじんじゃがえいえんとつづきますように はやくはしれるようになりますように。,八雲 氷川神社,自分,願望,,
家族みんなが健康で過ごせますように。家族みんなが気持ちよく過ごせる新居が完成しますように,八雲 氷川神社,家族,健康,,
笑顔で健やかに元気で幸せに祈願,自由が丘 熊野神社,自分,健康,,
元気に大きくなれますように,自由が丘 熊野神社,自分,健康,,
大きくなりますように。,自由が丘 熊野神社,自分,願望,,
たけちゃんが元気いっぱい育ちますように。,自由が丘 熊野神社,子ども,健康,,
子供たちが元気で過ごせますように。,自由が丘 熊野神社,子ども,健康,,
げんきでいられますように,自由が丘 熊野神社,自分,健康,,
11/8に落ち着いて体調もよく試験が受けれます様見守って下さい。,自由が丘 熊野神社,自分,学業,,
しょうがくせいになったらおちついてがんばれますようにみまもってください,自由が丘 熊野神社,自分,願望,,
元気に笑顔で過ごせますように,自由が丘 熊野神社,自分,願望,,
勉強が楽しくできますように。,自由が丘 熊野神社,自分,学業,,
えいごのえるさになれますように。,自由が丘 熊野神社,自分,願望,,
健康で元気にすくすく成長しますように！家族みんな仲良く過ごします！,自由が丘 熊野神社,自分,健康,,
すてきなおねえさんになれますように,自由が丘 熊野神社,自分,願望,,
これからも健康でみんな楽しく生きていけますように,自由が丘 熊野神社,自分,健康,,
みんながなかよくできますように,自由が丘 熊野神社,自分,願望,,
あしがはやくなりますように。,自由が丘 熊野神社,自分,願望,,
椰・家族全員が健やかに明るく過ごせますように,自由が丘 熊野神社,家族,願望,,
絶対合格 2022年度行政書士試験を受ける全ての方の合格を祈念します,自由が丘 熊野神社,自分と他人,学業,,
純怜が元気に明るく成長しますように,自由が丘 熊野神社,家族,健康,,
みんなげんきでけんこうにくらせますように,自由が丘 熊野神社,自分,健康,,
がっこうがたのしくなりますように,自由が丘 熊野神社,自分,願望,,
芽生ちゃんが元気に過ごせますように,自由が丘 熊野神社,子ども,健康,,
みんなが元気に過ごしていられますように。,自由が丘 熊野神社,自分と他人,健康,,
一生元気でいれますように。,自由が丘 熊野神社,自分,健康,,
いつもはながよしてありがとうございます。,自由が丘 熊野神社,自分,,,
良い出会いがありますように。試験やりぬけますように。,自由が丘 熊野神社,自分,待人,縁談,学業
父の手術が成功し、病が治りますように。,自由が丘 熊野神社,家族,健康,,
おべんきょうがんばります。,自由が丘 熊野神社,自分,学業,,
志望校に合格しますように,自由が丘 熊野神社,自分,学業,,
ながいきできますように。,自由が丘 熊野神社,自分,健康,,
母の手術が成功し、病が治りますように。,自由が丘 熊野神社,家族,健康,,
元気で過ごせますように。,自由が丘 熊野神社,自分,健康,,
もっくんがこの地で明るく幸せな時間を安全に過ごせますように,自由が丘 熊野神社,子ども,願望,,
みんなげんきに,自由が丘 熊野神社,自分たち（複数人）,健康,,
うしろまわりができますように。,自由が丘 熊野神社,自分,願望,,
おにぎょうたちがうごいてほしいです,自由が丘 熊野神社,不明,願望,,
なんでもチャレンジできましょうに,自由が丘 熊野神社,自分,願望,,
元気でいれますように,自由が丘 熊野神社,自分,健康,,
健康で楽しい日々を過ごせますように...,自由が丘 熊野神社,自分,健康,,
元気に楽しく！,自由が丘 熊野神社,自分,願望,,
昭和53年6月11日生 山田佳代子 どうぞ健康な身体になれますように,自由が丘 熊野神社,自分,健康,,
いつもありがとうございます 良縁成就 ,自由が丘 熊野神社,自分,縁談,,
Hey!Say!JUMP 15th Anniversary LIVE TOUR 2022-2023 当選しますように。,自由が丘 熊野神社,自分,願望,,
だたかつ&のりひさ が元気に大きくなりますように,自由が丘 熊野神社,家族,健康,,
元気に健康で過ごせますように。,自由が丘 熊野神社,自分,健康,,
ギータがうまくなりますように,自由が丘 熊野神社,自分,願望,,
コロナが無くなりますように。,自由が丘 熊野神社,自分,願望,,
いつまでも健康に幸せでいますように,自由が丘 熊野神社,自分,健康,,
健康に育ちますように。楽しい人生となりますように！ (初宮詣),自由が丘 熊野神社,家族,健康,,
健康にすくすく育ちますように,自由が丘 熊野神社,家族,健康,,
雄斗さんにたっくさんの幸せが訪れます！！,自由が丘 熊野神社,知人,願望,,
サマステが当たりますように... 家族皆健康でいられますように...,自由が丘 熊野神社,自分,願望,健康,
2022年6月 RUEくんとお付き合いがはじまり、2022年中にラブラブ結婚生活に感謝♡,自由が丘 熊野神社,自分たち（複数人）,恋愛,,
関西ジャニーズJr. フレッシュライブ Lil かんさい フレッシュ！フレッシュ！フレッシュ！ 当選・最前祈願 たくちゃんといっぱい笑える冬になりますように♡,自由が丘 熊野神社,自分,願望,,
健やかにたくましくすくすくと育ちますように,自由が丘 熊野神社,家族,健康,,
無事に富士山登頂そして、帰宅できます様にーーー！,自由が丘 熊野神社,自分,旅行,,
平癒祈願 まゆ美が58歳を迎えることができました。,自由が丘 熊野神社,自分,,,
早稲田大学政治経済学部政治学科に合格する!,自由が丘 熊野神社,自分,学業,,
SixTONESのジェシーに会いたいです。,自由が丘 熊野神社,自分,願望,,
2022年8月27日なにわ男子デビューコンサート神席当たりますように！,自由が丘 熊野神社,自分,願望,,
なわとびできますように,自由が丘 熊野神社,自分,願望,,
おかしいっぱいもらえますように,自由が丘 熊野神社,自分,願望,,
HAPPYな毎日とすてきなご縁がありますように...,自由が丘 熊野神社,自分,縁談,,
ぼうけんしゃたち舞台 ???(海組) 成功しますように！！楽しく??ますように,自由が丘 熊野神社,不明,技芸,,
？彦くん♡綾子ちゃん 元気な赤ちゃんが授かりますように。,自由が丘 熊野神社,知人,出産,,
メイケイエール号がG1レースで勝てますように。ケガ、病気をせずに引退まで走れますように。,自由が丘 熊野神社,推し,争事,健康,
転職活動が上手くいきますように,自由が丘 熊野神社,自分,仕事,,
家移りがうまくいき新居で末長く楽しく健康に暮らしていけますように,自由が丘 熊野神社,自分たち（複数人）,転居,健康,
「くまのがっこうミニコンサート 2021」ヘルマン役として千本桜のぶたいにたてますように！,自由が丘 熊野神社,自分,技芸,,
ゆうちゃんとずっと一緒にいられますように！,自由が丘 熊野神社,知人,恋愛,,
太一くん寛明くんが立派な社会人になりますように！,自由が丘 熊野神社,子ども,願望,,
みんなげんきに,自由が丘 熊野神社,自分たち（複数人）,願望,,
「PICU・小児治療室」吉沢亮様の初主演月９ドラマの成功をお祈りします。,自由が丘 熊野神社,推し,技芸,,
家内安全 健康第一,自由が丘 熊野神社,家族,健康,,
コロナになりませんように。,自由が丘 熊野神社,自分,家内安全,健康,
元気に健やかに暮らせますように ダンスも上手に踊れますように,自由が丘 熊野神社,自分,健康,願望,
スーパーモデルになれますように,自由が丘 熊野神社,自分,願望,,
コンクールのよせんふたつともとおりますように。,自由が丘 熊野神社,自分,争事,,
これからも谷佳樹くんがお仕事に恵まれより良いご縁がずっと続きますように 楽しい思い出がいっぱいできますに♡,自由が丘 熊野神社,推し,仕事,待人？,
持病が治療しますように こどもが授かりますように,自由が丘 熊野神社,自分,健康,,
良縁に恵まれ、穏やかに過ごせる日々が訪れますように,自由が丘 熊野神社,自分,縁談？,願望,
ミニーになれますように,自由が丘 熊野神社,自分,願望,,
後遺症なく無事に回復されますように ?????,自由が丘 熊野神社,知人,健康,,
平療祈願　山本さんの病気が1日も早く完全に治りますように,自由が丘 熊野神社,知人,健康,,
ミュージカル2022年「ジョセフ・アンド・アメージング・テクニカラードリームコート」に当選しますように,自由が丘 熊野神社,自分,願望,,
自分に合った良い仕事が見つかります様に健康であります様に,自由が丘 熊野神社,自分,仕事,健康,
合格できますように,自由が丘 熊野神社,自分,学業,,
合格祈願　女子美合格,自由が丘 熊野神社,自分,学業,,
家内安全 元気で楽しく幸せに生きる,牛久 薬師寺,自分たち（複数人）,家内安全,健康,願望
げんきなあかちゃんうまれますように,牛久 薬師寺,家族,出産,,
家内安全 健やかな1年でありますように,牛久 薬師寺,家族,家内安全,健康,
元気でボケないで永生き出来ます様に．ポックリ行けますように！,牛久 薬師寺,自分,健康,,
早くコロナがおちついて幸せにくらしていけますように,牛久 薬師寺,自分たち（複数人）,健康,,
大翔くんの合格を祈って！,牛久 薬師寺,友達,学業,,
足が今よりももっと走くなれますように,牛久 薬師寺,自分,願望,,
中学受験で第一志望に合格できますように,牛久 薬師寺,自分,学業,,
皆様が健康でありますように,牛久 薬師寺,自分たち（複数人）,健康,,
これからも今の職場、職種で無事に働けますように。何事もなく無事に過ごせ、自分の希望通りに生きられますように。家内安全・交通安全・無病息災・気持平穏,牛久 薬師寺,自分,仕事,家内安全,健康
家内安全,牛久 薬師寺,家族,家内安全,,
ぴやのじょうずになれますように。かんじじょうずになれますように。,牛久 薬師寺,自分,技芸,,
学業成就合格祈願,水道橋 三崎稲荷神社,自分たち（複数人）,学業,,
全運UPしますように,水道橋 三崎稲荷神社,自分たち（複数人）,願望,,
プロアイスリーガとして成功し、幸せな人生が送れます？？？,水道橋 三崎稲荷神社,推し,技芸,願望,
みほみすずかながいつまでもずーっと幸せで仲良く過ごせますように・・・＊今年もたくさんあそぼうね💓いつも沢山の笑顔をありがとう‼︎ MMK,水道橋 三崎稲荷神社,自分たち（複数人）,友情,,
？？の留学が、周りの人々に恵まれ、事故、病気、けが無く、充実したものになりますように。,水道橋 三崎稲荷神社,子ども,学業,旅行,
令和5年2月5日 社会福祉士国家試験に合格し、ソーシャルワーカーとして、時代や名助けを必要とする方々のために、役割を全うすることができますように。令和4年10月1日,水道橋 三崎稲荷神社,自分と他人,仕事,願望,
春太郎のカナダ留学無事に楽しく有意義に充実したものになりますように。母より,水道橋 三崎稲荷神社,子ども,学業,旅行,
ちーちゃんと秋山先生が菅報に乗りますように 2021年8月,水道橋 三崎稲荷神社,不明,仕事,,
キチンとした生活リズムでくらせる様になりたい。いつも病気と隣合わせの人とも仲良く付き合い、健康でいたい。令和4年1月15日,水道橋 三崎稲荷神社,自分,健康,願望,
？？が1年間、イギリスで健康に過ごせますように。コロナ、サル痘にかかりませんように‼︎　2022/7/31,水道橋 三崎稲荷神社,不明,健康,旅行,
家族みんなが健康で幸せでありますように。大金が手に入りますように（宝くじ億単位当たりますように） 千葉県？？市？？村上 はるみ,水道橋 三崎稲荷神社,家族,健康,金運,願望
鈴木？？の米国留学が実り多く、最高の1年となりますよう、お願い申し上げます。無事帰国！ 千葉県？？市,水道橋 三崎稲荷神社,不明,学業,旅行,願望
（株）トリニテジャパン代表？？？？が完全回復して一日も早く社会復帰できるよう救ってください。最短・最良の状態で回復させて下さい。2022年11月16日 高橋美？子,水道橋 三崎稲荷神社,推し,健康,,
東京都文京区より、イギリス留学2022.8/27~2023.7/26楽しく過ごせます様に,水道橋 三崎稲荷神社,不明,学業,旅行,願望
泡沫パーティーズ 全国制覇 さきすき最高,水道橋 三崎稲荷神社,自分たち（複数人）,友情,,
Snow Manのみんながこの先健康に過ごせますように 令和4年1月22日 宮上？？,水道橋 三崎稲荷神社,推し,健康,,
慶應義塾大学文学部に現役で合格できますように。令和四年一月四日 関根理子,水道橋 三崎稲荷神社,自分,学業,,
安全で充実したアメリカ留学になりますように。令和4年8月3日 ？？美空,水道橋 三崎稲荷神社,不明,学業,旅行,健康
坂本勇人選手が日本一の主将になれますように。？？？？の筋が回復しますように…。2022325　ちよ,水道橋 三崎稲荷神社,推し,技芸,健康,
？？の病気が早く治り、また家族皆で平穏に暮らせますように、？？、？一郎がこれからもずっと幸せでありますように。 千葉県？？市 小林？子,水道橋 三崎稲荷神社,家族,健康,願望,
みすず、かな、みほがこれからもずっと一緒にいて笑顔でHAPPYに楽しく過ごしていけますように😊🤍思い出ふやしていこうね🤍　MMK,水道橋 三崎稲荷神社,自分たち（複数人）,友情,願望,
見守ってくださいありがとうございます❤️お会いできますように…。巣立ち？を？せますように❤️　なぎさ,水道橋 三崎稲荷神社,子ども,健康,願望,
真衣がUWCイタリア校で健康で安全にそしてかけがえのない充実した2年間を過ごせますように,水道橋 三崎稲荷神社,子ども,学業,旅行,健康
"門間春治の次女の香繭早く縁が来ますように
田舎？と？にも縁が来ますように。長男の洋人に早く二人目が出来ますように。また昇進試験門張って下さい",水道橋 三崎稲荷神社,家族,縁談,出産,
日本大学が今年は少しずつよくなるように,水道橋 三崎稲荷神社,不明,願望,,
べんきょうがとくいになりますように,竜ヶ崎 八坂神社,自分,学業,,
しょうぼうしになれますように,竜ヶ崎 八坂神社,自分,願望,,
おおきくなれますように,竜ヶ崎 八坂神社,自分,願望,,
すこやかに笑顔多く育ってくれますように,竜ヶ崎 八坂神社,子ども,健康,,
手術が上手くいきますように,竜ヶ崎 八坂神社,不明,健康,,
石の研究者になりたいです。クリスタルな石を見つけたいです。,竜ヶ崎 八坂神社,自分,願望,,
こうちゃんがこれからもすくすく元気に育ってくれますように。元気に健やかに。,竜ヶ崎 八坂神社,子ども,健康,,
パウパトロールになりたい　元気に健康に育ちますように,竜ヶ崎 八坂神社,自分たち（複数人）,願望,健康,
竜ヶ崎第一高等学校附属中学校に合格しますように,竜ヶ崎 八坂神社,自分,学業,,
真衣がUWCイタリア校で健康で安全にそしてかけがいのない充実した二年間を過ごせますように ？？区？？本町,竜ヶ崎 八坂神社,子ども,健康,学業,旅行
好き嫌いがなおりますように　そして体が強くなりますように,竜ヶ崎 八坂神社,自分,願望,健康,
おいしゃさんになりたい,竜ヶ崎 八坂神社,自分,願望,,
大きくなったら勉強一杯する,竜ヶ崎 八坂神社,自分,学業,,
明るく元気に健康に丈夫に育ってね,竜ヶ崎 八坂神社,子ども,健康,,
みなすこやなにすごせますように,竜ヶ崎 八坂神社,自分たち（複数人）,健康,,
健康第一で元気にすごせますように,竜ヶ崎 八坂神社,自分,健康,,
必勝,竜ヶ崎 八坂神社,自分たち（複数人）,争事,,
50才を迎えて1年と11ヶ月　間もなく五十一歳を無事に進めるように足を知るで生きていけますように努力します。,竜ヶ崎 八坂神社,自分,健康,,
息子の大地が病気する前の様に歩ける様になりますように　ダンスをしたり走れますように,竜ヶ崎 八坂神社,子ども,健康,,
もっとあしがはやくなりますように,竜ヶ崎 八坂神社,自分,願望,,
健康で幸せな人生を送れますように,竜ヶ崎 八坂神社,自分,健康,,
