stmt,shrine,for,area
息子の大学院入試が成功しますように,st1,other,urban
ゴールドライブに出る,st1,self,urban
神様に恩返しができるように人に優しく人に役立てることを精一杯することを誓います,st1,self,urban
絶対合格！,st1,self,urban
小学校に受かりますように,st1,self,urban
夢に向かって何事にも努力します,st1,self,urban
空が元気でいられますように家族全員みんな仲良く元気でいられますように,st1,other,urban
心身ともに健康になり、金と運にも恵まれます 平おん祈願。,st1,self,urban
必ず受験降格!! 第一志望校入学,st1,self,urban
健康祈願 1日も早く健康体に戻れます様に,st1,other,urban
就活・部活共に上手くいきますように。,st1,self,urban
かっこいい社会人になれますように。あと英語も話せるようになりたい。,st1,self,urban
山梨県北本土布に家族で住む為の家が建てれますように。,st1,self,urban
まほちゃんが全力で勉強頑張るので、見守っていて下さい。,st1,other,urban
家族皆健康に平穏に暮らせますように。,st1,other,urban
都立桜修館中等教育学校の入学試験に合格しますように宜しくお願い致します。,st1,self,urban
最後まであきらめない。,st1,self,urban
合格出来ますように！,st1,self,urban
くれまぐがもっともっと有名になりますように ヒ?コがもっともっと有名になりますように,st1,other,urban
コロナがおさまり外出できますように。 サピのテストがうまくいきますように。,st1,self,urban
受験合格！！学業成就,st1,self,urban
2022年も最高の一年だったことご報告いたします。いつもご加護いただきありがとうございます。,st1,self,urban
これからも家族皆が楽しく仲良く過ごせますように。村長に今年なる,st1,other,urban
コロナに負けず全員元気で生活を送れる幸を祈願します。,st1,self,urban
手術が成功し無事健康で過ごせますように,st1,self,urban
家族が元気に1年を過ごせますように,st1,other,urban
家族みんなが健康で入れます様に,st1,other,urban
家庭円満 無病息災,st1,self,urban
いつもありがとうございます。自分の魂の道に進み楽しくわくわくで過ごせますように！,st1,self,urban
慶應中等部に合格しますように,st1,self,urban
ことしもたのしくなってほしいです。,st1,self,urban
自分が一生かけて取り組みたいと思うお仕事と出会い、就職できますように。心から大切にしたいと思える方に出会えますように。,st1,self,urban
本人が努力し頑張れるように暖かくサポートしてゆきます。,st1,other,urban
氷川神社が永遠と続きますように。速く走れるようになりますように。,st1,self,urban
家族みんなが健康で過ごせますように。家族みんなが気持ちよく過ごせる新居が完成しますように,st1,other,urban
笑顔で健やかに元気で幸せに祈願,st2,self,urban
元気に大きくなれますように,st2,self,urban
大きくなりますように。,st2,self,urban
